text_cleaned,label,correct,Demografi,Ekonomi,Geografi,Ideologi,Pertahanan dan Keamanan,Politik,Sosial Budaya,Sumber Daya Alam
siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh kejutan penyandang tuna rungu simpatisan ganjarmahfud tuna rungu nasional 2024 atikoh kejutan kaos warna merah bertuliskan negara indonesia kejutan atikoh diajarkan bahasa isyarat,Politik,23,1,0,8,2,18,23,3,1
abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya,56,0,0,0,0,0,0,56,0
calon presiden ri ganjar pranowo mahfud md regulasi hukum investasi mudah dipahami,Politik,40,0,14,0,2,0,40,0,0
michael gaya bicara keras terkesan emosional berisi prabowo kekerasan militer orang sifatnya lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik,27,2,0,5,1,3,27,17,1
paslon 03 ganjar pranowo mahfud md regulasi hukum investor indonesia bersahabat terukur,Politik,38,0,10,1,3,2,38,0,2
anies sosok ayah penuh kehangatan mmg sosok ayah penuh kehangatan lihat dlm tayangan video tangannya lentur banget menggendong anak luwes ngga kaku ngga buatbuat anakanaknya jg merasakan gendongan pelukan pelukan beliau kekuatan sejati ketenangan pelukan ayah,Pertahanan dan Keamanan,3,5,0,6,0,3,18,18,6
capres ganjar pranowo nggak mainmain nih kolaborasi perguruan program edukatif oke,Politik,35,0,18,1,1,0,35,1,0
projo kawal prabowo gibran menang putaran,Politik,43,4,2,0,2,0,43,5,0
tempodotco semangat m3nddukung mu ganjar mahfud hebat,Politik,41,0,12,1,1,0,41,1,0
anies sesuai selera masyarakat sumatera barat,Sosial Budaya,27,0,0,0,1,0,28,27,0
abah anies baswedan amp fery farhati pekanbaru kampanye akbar,Politik,37,3,0,8,0,0,37,8,0
atikoh beberkan solusi ganjarmahfud atasi harga pangan,Politik,38,0,8,0,0,7,38,2,1
giliran buruh soloraya deklarasi dukung prabowogibran soloraya,Politik,46,0,0,1,0,4,46,5,0
capres cawapres ganjar pranowo mahfud md mengajak bersatu menjaga konstitusi aturan dasar negara,Ideologi,56,0,0,0,56,0,0,0,0
raja dangdut haji rhoma irama seni film anies terpilih presiden desak anies amp slepet imin jiexpo kemayoran jakarta pusat senin 29 januari 2024,Politik,40,3,0,6,0,1,40,5,1
capres ganjar pranowo ruang masyarakat masukan saran evaluasi pasal karet uu ite,Politik,37,0,8,1,5,1,37,3,1
musuh utama gen z anies bertekad basmi praktik ordal penerimaan tenaga kerja sektor swasta amp pemerintahan dg penegakan aturan,Politik,29,0,0,9,11,3,29,4,0
debat caprescawapres ke3 anies nilai kemenhan melaksanakan kebijakan nilainya 11 100 menteri layak paslon 01,Politik,41,3,0,0,1,4,41,4,3
pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit 35 koprasi umkm andalan bisnis lokal sukses temantemanjn18a,Ekonomi,51,0,51,0,0,0,5,0,0
anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan teman adu ide amp gagasantunjukan karyakarya anies perubahan indonesia,Ideologi,46,2,0,0,46,0,0,8,0
aniess post has reached 26000 likes and 1350573 on dialog capres w kadin tvonenews youtube in 1 days 15 hour 27 minutes it is the fastest and highest post to reach 26k likes and 13m likes among capress members,Sosial Budaya,7,1,0,8,0,3,34,7,3
according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,Pertahanan dan Keamanan,48,0,0,8,0,48,0,0,0
kejam warga disitu bersedia dibangun jis dgn janji anies utk memabngun rumah susun stlh rumah terbangun mrk ga haknya anies gubernur sll menepati janjinya kampung akuarium kampung kunir dll salah rakyat rmh,Sosial Budaya,48,0,0,2,1,1,2,48,2
prabowogibran terapkan 17 program melancarkan ekonomi biru internasional kontan,Ekonomi,15,4,15,4,1,3,27,2,0
viral anies baswedan ancaman penembakan tim hukum amin tempuh jalur hukum,Pertahanan dan Keamanan,38,2,0,1,0,38,10,5,0
kasihan pendukung prabowo udah dibela belain masuk penjara gak diakui,Politik,43,1,0,0,0,0,43,10,2
tempodotco ayo ganjar tuntaskan permasalahan indonesia m3nang semuakerja ganjar mahfud hebat ayahbowo adalahkita,Politik,34,3,17,0,0,1,34,1,0
wiranto langsung bergerak cepat dukungan prabowo gibran,Politik,43,2,3,0,1,1,43,5,1
gua beneran sedih banget ya orang tuh susah menerima fakta kalo prabowo war criminal zionist kek theres so many possibilities kalo beliau kepilih regress demokrasi otoriter menteri progresif didepak,Politik,33,2,0,4,3,4,33,7,3
lautan manusia sambut capres nomor urut 1 anies baswedan laksanakan giat kampanye bone sulawesi selatan sulsel rabu 1712024 anies bertemu masyarakat bone lapangan sepak bola cina kampanye kali spesial lantaran ditemani eks wakil presiden jusuf kalla jk lautan manusia antusias menyapa anies takjub uang mengobarkan semangat simak berita selengkapnya,Politik,39,1,0,4,3,1,39,4,4
kali capres peluk orang papua mencium tangan anakanak papua biar rakyat menilai gak ngaruh all in prabowo istirahat anies deserve better,Politik,39,4,0,0,0,0,39,12,1
vote aniesmuhaimin 14 februari 2024 silahkan retweet,Politik,37,0,4,9,5,1,37,0,0
data manaaaaa data lahan prabowo rahasia pertahanan index peringkat dibaca ganjar rahasia pertahanan astagaaaa,Pertahanan dan Keamanan,45,2,0,0,1,45,3,4,1
video direkam 5 april 2014 dlm acara mengadili anies jd presiden cita cita anies value pikiran dibawa dlm gagasan anies pemikiran negarawan jarang dengar pemikiran2 beliau dinegeri guys,Politik,39,0,0,5,0,1,39,10,1
ganjar prof mahfud memperoleh dukungan luas keberanian menghadapi dinamika g3opolitik terduga,Politik,39,1,12,0,2,2,39,0,0
jk tanah bob hasan dimiliki prabowo,Politik,33,1,0,3,4,11,33,3,1
bawaslu terkesan membenarkan kegiatan paslon 2 kunjungan prabowo cilincing diwarnai bagi2 uang 100rb dianggap kunjungan menhan bawaslu terserah klean,Politik,38,0,2,9,1,2,38,1,3
prabowo tipe suka bukti kinerjanya sekedar omong kosong belaka,Politik,33,1,0,12,3,2,33,5,0
abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya,56,0,0,0,0,0,0,56,0
anies prediksiulama madura jawa timur terkagum kagum anies ulama madura bernama kyai fattah mengaku kalah menyimak anies acara cifp 2023,Politik,28,2,0,9,0,0,28,15,2
nelayan butuh tindakan nyata ganjar pranowo mahfud md hadirkan solusi terbaik,Politik,37,0,13,1,3,0,37,2,0
anies bersikap kritis kinerja prabowo dianggap engga sopan dianggap menghormati orang tua giliran skrg gibran tengil sok kritis dianggap kritis keras standar ganda,Politik,42,3,0,0,0,2,42,3,6
ganjar pranowo tindakan positifnya keberaniannya menjaga keamanan nasional mendukung cyber force,Pertahanan dan Keamanan,15,2,4,0,10,15,23,2,0
batam pecah suasana pasar tos 3000 batam anies baswedan berkunjung warga menyambut meneriakkan anies presiden,Politik,38,2,0,1,4,2,38,7,2
debat semalam buka2an imformasi pertahanan tp rdp dgn komisi i dpr beliau menolak rapat terbuka bertahan spy rapat tertutup ngadepin 2 capres sok tau ga dibuka,Pertahanan dan Keamanan,15,3,0,4,1,15,26,2,5
anies prestasinya jakarta gemilang didukung pemerintah pusat cenderung dihambat framing jahat anies nggak kerja,Politik,29,5,0,5,3,0,29,13,1
konsisten bersuara melawan radikalisme intoleransi pilih prabowo omon omon dianggap tokoh toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribuan masyarakat lintas etnis sekalimantan barat berkumpul hotel golden tulip pontianak rabu 3112014 perwakilan tokoh dayak tionghoa papua jawa minang batak madura selamat kota khatulistiwa ganjar bangga tokoh adat etnis menyambut ganjar ketua dewan pembina dewan adat daerah dad kalbar ketua tim pemenangan daerah tpd ganjar mahfud kalbar lazarus masyarakat kalbar antusias menyambut ganjar kehadiran tokoh ketua organisasi etnis bukti sepakat mendukung ganjar mahfud tokoh adat berkumpul mewakili organisasi kelompok etnis adat kalimantan barat mendukung ganjar memenangkan kalbar lazarus disambut teriakan kompak ribuan masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak kompak tokoh adat dayak henusa masyarakat lintas etnis kalbar kompak mendukung ganjar dianggap tokoh toleran anggota dpr ri gubernur jateng periode ganjar harmonisasi mengidolakan mendukung ganjar presiden 2024 tangan beliau kasuskasus intoleransi indonesia dihilangkan ganjar menyambut dukungan masyarakat lintas etnis kalbar terima kasih menurutnya apapun hasil pilpres toleransi indonesia terjaga kalbar contoh daerah toleran kalbar kota dinobatkan kota toleran seindonesia singkawang,Demografi,2,2,0,2,1,5,38,4,4
koneksi internet kebutuhan pokok masyarakat indonesia menjalankan aktivitas seharihari paslon 03 ganjarmahfud komitmennya menghadirkan internet kuat cepat murah masyarakat indonesia,Ekonomi,5,8,5,1,0,4,36,2,0
jaua suparna anies s1 nya fakultas ekonomi s2 nya kebijakkan keuangan s3 nya political ekonomi amp pembangunan,Ekonomi,48,3,48,0,0,0,0,5,0
isu palestina prabowo keberpihakan amp kepedulian menegakkan konstitusi watak aslinya,Politik,30,1,0,1,15,5,30,3,1
acara pendukung anies ramaikan lokasi kampanye,Politik,32,2,1,2,5,0,32,14,0
terpenting bangsa bersyukur prabowogibran,Politik,41,4,1,1,2,0,41,6,1
membutuhkan penjaga tni al kuat mengibarkan merah putih menegakkan kedaulatan negara menhan prabowo,Pertahanan dan Keamanan,21,0,0,0,9,21,19,7,0
kinerja prabowo fokus modernisasi alutsista beliau dinilai mendorong perkembangan industri pertahanan negeri loh,Pertahanan dan Keamanan,51,1,0,2,0,51,1,1,0
gak sebatas wacana mending udah langkah nyata kayak pasangan ganjar pranowo mahfud md,Politik,40,0,12,0,3,0,40,1,0
,Sosial Budaya,16,0,0,22,0,0,18,16,0
duo bangsa ganjar pranowo prof mahfud program bikin indonesia yuk pilih bawa solusi nyataganjarmahfud taat hukum,Politik,41,1,12,0,1,0,41,0,1
menkominfo budi arie bela prabowo data pertahanan bersifat rahasia,Pertahanan dan Keamanan,32,1,0,1,4,32,14,2,2
anies referensinya jkw capres 02 diajarkan rakyat indonesia goblok tolol janji mengembalikan tanah 2019 bilang,Politik,38,7,0,1,2,3,38,3,2
calon presiden ri no urut 3 ganjar pranowo gak mainmain menjaga konstitusi aturan dasar negara percaya,Ideologi,55,0,0,0,55,0,1,0,0
gibran permasalahan pupuk internet jalan berlubang prabowogibran,Politik,34,4,6,0,0,1,34,11,0
menghadiri tantangan kpk komitmennya pemberantasan korupsi indonesia 2024 majalengka majalengka beiqnh5xqr ganjar mahfud hebat,Politik,39,0,12,0,1,3,39,1,0
capres ganjar pranowo konstitusi aturan dasar negara dasar keadilan dipegang teguh,Ideologi,55,0,0,0,55,0,1,0,0
anies baswedan proxy us didukung yaman fpi abu bakar baasyir freemason bangun khilafah disupport kader nu muhamadiyah lupa dukungan komunitas pecinta perkutut berkolaborasi sjw feminism masmas rohis celana cingkrang kpoper,Ideologi,38,0,0,10,38,3,4,1,0
pilih capres ganjar pranowo keren pilih pemimpin sulit mengendalikan emosi menciptakan ketidakpastian kalangan masyarakat jn18a,Politik,32,0,13,1,7,2,32,1,0
anies berprestasi nasional internasional lihat video prestasi prabowo korupsi food estate amp anggaran kemenhan prabowo singgung orang pandai bicara kerja sindir anies,Politik,35,4,2,0,0,1,35,6,8
capres nomor urut 1 anies baswedan pergeseran substitusi import terjaga anies baswedan ekosistem industri pasar konsumsi sentra produksi global diharapkan muncul kegiatan ekspor perihal tingkat komponen negeri anies ditingkatkan bertahap simak video selengkapnya nantikan live eksklusif dialog capres kadin sesi iii prabowo subianto jumat 12 januari 2024 pkl 09301130 wib live tvone live streaming youtube tvonenews,Ekonomi,2,0,2,7,0,2,42,0,3
momen capres nomor urut 3 ganjar pranowo besuk relawannya korban penganiayaan oknum tni boyolali kondisi kronologi kejadian relawan pendukungnya dipukuli aparat keamanan institusi tni menangani kejadian,Pertahanan dan Keamanan,45,0,1,1,3,45,5,0,1
palestina tindas gk kekuatan militer palestina lemah sy ksh buku biar paham vatikan gk kekuatan militer tp berani tindas gk analogi kekuatan militer palestina gk lemah gk lemah dilemahkan sistem kampret pbb skrg diam genosida pelanggaran ham berat berani nuntut den haag afrika selatan,Pertahanan dan Keamanan,9,0,2,9,2,9,25,7,2
rstmbcl santri riang gembira 2024 ganjar mahfud md ganjarmahfud2024 jauhi dusta amp emosional ganjar mahfud hebat sikat kkn,Politik,38,0,11,0,0,0,38,7,0
media asing the new york times tulis prabowo menang demokrasi indonesia mati,Politik,34,4,1,3,0,7,34,4,3
kebersamaan perbedaan solid mendukung ganjar pranowo mahfud md pilihan terbaik pilpres 2024,Politik,29,0,8,0,19,0,29,0,0
inget video udah liat blm perhatikan tangan anies orang mah aja ya hal2 bikin,Politik,36,3,1,0,0,1,36,15,0
anies baswedan mas bowo wawasan capres ganjar pranowo prestasi nyata pilih pemimpin berdasarkan hasil kerjajn19x6,Politik,48,0,4,0,4,0,48,0,0
pemikiran terkait program makan siang gratis subsidi susu upaya politik prabowo dinilai berpotensi merugikan keuangan negara mengorbankan sektor pendidikan bantuan sosial,Politik,23,2,2,0,8,10,23,9,2
anies janji regulasi hapus diskriminasi usia syarat lowongan kerja,Politik,37,4,3,3,2,0,37,7,0
dukungan rakyat mengalir prabowogibran lawan rakyatsenang 02menang,Politik,46,3,1,0,1,0,46,5,0
anies kreatif bawa isu panggung pilpres,Politik,46,5,1,0,0,1,46,2,1
prabowo subianto kenaikan air hujan adi membenarkan situasi menekankan kesulitan air bersih utama,Sumber Daya Alam,48,1,0,0,0,2,0,5,48
legislasi diinisiasi ganjar pranowo mahfud md bertujuan menciptakan keadilan gender kerja meningkatkan kesejahteraan ekonomi perempuan,Ekonomi,28,2,28,0,0,0,25,1,0
capres cawapres ganjar pranowo mahfud md berpesan menjaga konstitusi aturan dasar negara landasan bangsa,Ideologi,56,0,0,0,56,0,0,0,0
pendukung mengerumuni anies pendukung hadiah cenderamata mantan gubernur dki jakarta,Politik,31,1,2,4,0,0,31,18,0
pemilih rasional bandingkan rekam jejaknya rekam karyanya pesan abah acara desak anies yogyakarta,Politik,13,0,2,0,0,5,13,35,1
2024 menyaksikan perubahan kepemimpinan penuh harapan ganjar pranowo mengemban tugas dijalankan jokowi,Politik,44,0,3,0,8,0,44,1,0
jnk kekuatan membawa perubahan positif mendukung ganjar pranowo mahfud md pilpres,Politik,40,3,13,0,0,0,40,0,0
anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan teman adu ide amp gagasantunjukan karyakarya anies perubahan indonesia,Ideologi,45,7,0,2,45,0,0,1,1
video dibawah diambil 2017 2019 2022 bukti rembug ganjar sdh rutin bukti ganjar melibatkan masyarakat mencari solusi hadapi hapus kredit macet melibatkan masyarakat subjek pembangunan kebijakan diambil sesuai dihadapi rakyat makan siang gratis program elit bkn rakyat solusi pemutihan kredit macet menghapuskan utang nelayan petani hasil kebijakan menimbulkan efek rakyat rakyat subjek objek pembangunan menjalankan kebijakan,Sosial Budaya,46,2,3,1,0,4,0,46,0
gue speechless amp bener2 merinding fenomena pendukung2 anies militan bikin spanduk karung dipasang jembatan lenteng agung bikin fandom x anies bubble beneran keren sumpah semoga arus perubahan berhasil gemilang,Sosial Budaya,43,3,0,8,0,0,2,43,0
parah loe mba buktinya gak ganjar n anies ngolok2 kekuatan militer indonesia jgn mentang2 skrg demokrat mendukung digarisan penguasa ya,Politik,29,3,0,5,4,2,29,9,4
tdk tau platform bikinan anies 2023 namanya bawa ide 5000 pemuda mendaftar amp 100 terpilih utk mempresentasikan gagasannya sesuai background masing2 anak2 muda diajak tampil diam amp membebek,Ideologi,2,1,1,15,2,0,24,10,3
cerita pasangan mahfud md ganjar pranowo percaya semangat dwi tunggal wujudkan impian,Politik,40,0,10,1,1,0,40,1,3
vidio 5catatan pendukung wowo anies gurbernur,Ekonomi,2,1,2,5,0,1,41,6,0
tolol bilang anies baswedan serang personal prabowo orang paham definisi serang personal serang personal serang fisik anak intinya personal anies serang kinerja prabowo menhan 4,Politik,28,2,1,1,0,1,28,21,2
bersamasama dukung prabowo mewujudkan perubahan warga jabar berbuatbaik untukmasyarakat,Politik,42,3,3,0,2,1,42,3,2
milih ganjar pranowo capres no 3 wujudkan indonesia ganjar mahfud hebat resolusi indonesia,Politik,35,0,6,0,14,0,35,0,1
3 orang penembak relawan prabowo dibekuk polda jatim kepala desa,Pertahanan dan Keamanan,2,2,0,1,3,2,44,2,2
menhan prabowo subianto sanjung kepemimpinan bupati arief rohman lakukan kunjungan kerja blora radar kudus radar kudus,Politik,41,0,0,11,0,3,41,0,1
januari serangan kubu dkk sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan 02 berkuasa prabowo,Pertahanan dan Keamanan,54,0,0,2,0,54,0,0,0
gibran klaim food estate singkong prabowo panen greenpeace 3 kali lokasi,Politik,24,1,2,2,0,1,24,0,26
pernyataan prabowo debat capres kecewa narasi paslon ____ capres nomor urut 2 prabowo subianto mengaku kecewa narasi pasangan calon presiden nomor urut 1 anies baswedan capres nomor urut 3 ganjar pranowo debat capres minggu 712024 kecewa kualitas narasi paslonpaslon datanya salah keliru data pertahanan dipakai mencari poin politik negarawan prabowo simak selengkapnya video temukan informasi terbaru kanal youtube kompastv,Politik,34,0,0,0,3,17,34,1,1
anies berjanji membangun jalan produksi menghubungkan sentra produksi pertanian pasar jawa barat,Sumber Daya Alam,3,0,6,1,0,2,22,22,3
berperan mendamaikan rusia ukraina kunjungan presiden kiev moskow pasca perang pecah lagaknya damaikan kubu seteru dugaan manfaatkan agenda negara kepentingan pribadi pasca lobi2 hashim adiknya prabowo tender pengiriman gandum jagung ukraina,Politik,27,0,0,8,2,13,27,2,4
demokrasi ala ganjar smg aspirasi rakyat jalankan,Politik,38,1,6,0,1,2,38,7,1
temenku pendukung prabowo bilang wajar prabowo kena ham militer dg analogi spt diwajarkan militer pelanggaran ham rakyat sipil,Politik,33,5,0,3,6,6,33,3,0
anies kesetaraan pendidikan salah diperjuangkan,Ideologi,0,0,6,1,0,1,25,18,5
wowkampanye akbar capres pasangan no 1 anies baswedan gor parung bogor indonesia people deserve better,Politik,42,0,1,1,3,6,42,2,1
pupuk bersubsidi langka tim prabowo gibran posko penyaluran pupuk bersubsidi petani solar bersubsidi langka tim prabowo gibran posko penyaluran solar bersubsidi nelayan beras mahal tim prabowo gibran bansos beras negara ngapain,Ekonomi,48,4,48,0,0,2,0,2,0
calon wakil presiden nomor urut 3 mahfud md laju deforestasi penggundulan hutan indonesia tertinggi dunia prabowo subianto,Sumber Daya Alam,3,0,4,0,4,2,42,1,3
melawan framing anies jualan politik identitas,Politik,33,4,0,0,1,0,33,16,2
januari serangan kubu dkk sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan 02 berkuasa prabowo,Pertahanan dan Keamanan,51,0,0,5,0,51,0,0,0
menjadikan abah anies pemimpin republik citacita love you abah,Politik,27,0,4,4,0,1,27,20,0
orang papua berharap anies presiden,Sosial Budaya,38,0,0,1,2,0,14,38,1
fakta alami lapangan kenalankenalan temuiteman teman kampus orang laintentang pilihan capres 90 mendukung prabowo kutanya alasannya seputar gimmickgimmick tim 02 memahami gagasan visimisi capresnya mejudge bagiku sahsah hak warga negara memilih alasan apapun indonesia butuh dipimpin orangorang gagasan hebat gagasan detail gagasan bertumbuh seiring perkembangan zaman butuh mengangkat pemimpin cerdas wawasan luas its okay umur indonesia negeri muda mengerti meritokrasi,Politik,25,2,1,3,5,10,25,10,0
anies baswedan sblm aktif politik blusukan pelosok wilayah utk memajukan dunia pendidikan negeri tercinta d,Politik,32,0,1,3,0,2,32,17,1
2010 papua barat mengirimkan guruguru pelosokpelosok papua orang sinyal listrik capres 01 anies baswedan,Politik,36,2,0,3,2,2,36,11,0
kapitalisme neoliberal cocok indonesia prabowo kalimantan,Ideologi,45,1,0,4,45,1,1,2,2
ganjar informasi mamat gunshop dibuka publik mamat gunshop riskan pengetahuan masyarakat global sistem pertahanan sih ganjar malam andalan,Pertahanan dan Keamanan,44,3,1,1,2,44,5,0,0
dukungan prabowo subianto pemimpin memprioritaskan kepentingan rakyat prabowo subianto,Politik,52,1,0,0,0,0,52,2,1
kiki_daliyo ganjar pranowo sikap disitulah bentuk cinta bangsa indonesia hebat lulus kerja,Ideologi,19,1,15,0,19,0,20,1,0
capres nomor urut 3 ganjar pranowo menanggapi politikus pdip rieke diah pitaloka ganjar mahfud hebat,Politik,38,0,6,2,9,0,38,1,0
hadiri konser indonesia maju tulungagung tomi gandhi prabowogibran optimis menang putaran,Politik,43,3,1,1,1,3,43,3,1
anies saking programnya oke orangorang fear mongering black campaign beliau isu beliau gak terlibat didalamnya validitas ceritanya dibuktikan krn pengarangnya anon stop that you guys are nasty,Politik,28,1,0,14,1,2,28,10,0
sadar anies peragakan gerakan attack on titan tutup debat pilpres ketiga momen anies memeragakan gerakan anime attack on titan mengepalkan tangan kanannya menyilangkannya dada tangan kirinya mengambil gerakan gerakan istirahat gerakan pasukan pembebesan anime attack on titan berperang melawan musuh bahasa jepang gerakan disertai teriakan shinzou wo sasageyo mengabdikan hatimu harfiah konteks attack on titan pasukan mati kebebasan,Sosial Budaya,47,2,0,6,0,0,1,47,0
prabowo ngomong hilirisasi debat 1 helai rabut ganjar hitam,Politik,47,0,6,0,0,0,47,3,0
januari serangan kubu dkk sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan 02 berkuasa prabowo,Pertahanan dan Keamanan,52,0,0,3,0,52,0,1,0
fakta komunikasi peringatan apapun usut tuntas rakyat netralitas tni kawal ganjar mahfud kemenangan 44 kemenangan,Politik,34,1,15,1,0,5,34,0,0
pupuk bersubsidi langka tim prabowo gibran posko penyaluran pupuk bersubsidi petani solar bersubsidi langka tim prabowo gibran posko penyaluran solar bersubsidi nelayan beras mahal tim prabowo gibran bansos beras negara ngapain,Ekonomi,48,0,48,0,0,1,0,7,0
abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya,56,0,0,0,0,0,0,56,0
masyaallah semoga kelancaran kesehatan istiqomah perjuangan pilpres aamiin ya rabb paslon serius menghadapi pilpres dgn adu gagasan belanja issue grassro,Politik,39,2,0,4,3,5,39,3,0
medan anak medan merantau jakarta pulang rumah dipanggil orang tua prabowogibran kerja nyata,Politik,27,3,0,0,2,1,27,16,7
tuch blg gaza lemah oh iya si prabowo normalisasi israel,Politik,23,2,0,3,1,18,23,7,2
semalam ganjar mengambil keuntungan tingginya tensi 2 capres semoga rakyat cerdas memahami makna debat berdua anies serang prabowo lembaga negara pribadi prabowo tendensius amp personal,Politik,44,2,0,0,4,3,44,2,1
januari serangan kubu dkk sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan 02 berkuasa prabowo,Pertahanan dan Keamanan,54,0,0,1,0,54,0,1,0
capres cawapres ganjar pranowo mahfud md mengajak bersatu menjaga konstitusi aturan dasar negara,Ideologi,49,0,0,0,49,1,6,0,0
sakaria wielgosz menyoroti fokus ganjar mahfud umkm menganggapnya fondasi kuat pertumbuhan ekonomi berkelanjutan ganjar pranowo berhak terbaik,Ekonomi,26,0,26,0,0,0,27,2,1
calon presiden capres nomor urut 3 ganjar pranowo berkampanye karawang jawa barat jumat ganjar ganjar mahfud hebat lulus kerja,Politik,38,0,7,1,7,0,38,2,1
momen capresku jenguk relawan ganjarmahfud korban penganiayaan oknum tni korban slamet andono bercerita diseret jalan raya dibawa masuk markas batalyon 408 situ dipukuli 5 oknum tni miris,Pertahanan dan Keamanan,50,0,0,6,0,50,0,0,0
al fatihah alm lambang babar purnomo alumnus arkeologi ugm diduga dibunuh saksi pencurian pemalsuan arca museum radya pustaka melibatkan hashim djojohadikusumo adik prabowo,Pertahanan dan Keamanan,31,0,0,11,0,31,11,2,1
akhirnyaaaaaaa adsnya abah minol titik utk ads abah gemes bgt anies all rounder anies 8th gen it boy anies 8th gen leader,Politik,32,1,0,4,3,0,32,14,2
jogetjoget menyenangkan pemuda programprogram solusi nyataseperti program pasangan capres ganjar pranowo mahfud md,Politik,33,0,23,0,0,0,33,0,0
peta komoditas dimiliki ganjar jendela kekayaan alam dimiliki indonesia,Sumber Daya Alam,7,4,3,2,2,12,25,1,7
pdip tanggapi jokowiprabowo makan malam berdua detikbali,Politik,30,0,1,9,0,7,30,8,1
ayo tanamkan benih perubahan pilih ganjar pranowo ajak anakanak muda menciptakan indonesia maju,Politik,37,5,8,0,1,0,37,5,0
