text_cleaned,label,correct,Demografi,Ekonomi,Geografi,Ideologi,Pertahanan dan Keamanan,Politik,Sosial Budaya,Sumber Daya Alam,text
trending on twitter x anies bubble meroket fenomena fans kpop join amin isme,Sosial Budaya,7,2,1,10,8,0,28,7,0,RT Trending On Twitter ( X) Anies Bubble meroket - Fenomena Fans K-pop join AMIN -ISME https://t.co/SzQctyOJoQ [RE Yurissa_Samosir]
wait wait bukti anies politik identitas ahok terang terangan pilkada memantik perselisihan password wifi kafir berpikir adil sulit,Politik,30,6,0,5,2,3,30,9,1,"RT @BUMlUyYYGIARoOH2Nx/iuCAFpXprUov+NM3cvB2DtYI= Wait wait pak. Ada bukti pak anies gunakan politik identitas ? Bukankah justru ahok yang terang terangan. Bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata ""kafir"". Berpikir adil itu memang sulit pak. https://t.co/tCzvhvR2G9 [RE iahk25]"
siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh kejutan penyandang tuna rungu simpatisan ganjarmahfud tuna rungu nasional 2024 atikoh kejutan kaos warna merah bertuliskan negara indonesia kejutan atikoh diajarkan bahasa isyarat,Politik,23,1,0,8,2,18,23,3,1,"RT Siti Atikoh mengunjungi kantor TPD Ganjar-Mahfud Sumatera Selatan. Atikoh mendapat kejutan dari penyandang tuna rungu simpatisan Ganjar-Mahfud di Hari Tuna Rungu Nasional 2024. Atikoh diberikan kejutan berupa kaos warna merah, bertuliskan Ibu Negara Indonesia di bagian depan. Tak hanya diberikan kejutan, Atikoh juga diajarkan Bahasa Isyarat. #PDIPerjuangan #HUTPDIPerjuanganKe51 #KebenaranPastiMenang #SatyamEvaJayate #GanjarMahfud2024 #MEnangkanGAnjar #Nomor3Pilihanku [RE PDI_Perjuangan]"
abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya,56,0,0,0,0,0,0,56,0,RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2]
calon presiden ri ganjar pranowo mahfud md regulasi hukum investasi mudah dipahami,Politik,40,0,14,0,2,0,40,0,0,"Calon Presiden RI Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/v6hsuOEr84"
michael gaya bicara keras terkesan emosional berisi prabowo kekerasan militer orang sifatnya lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik,27,2,0,5,1,3,27,17,1,"RT Pak Michael Gaya bicara keras dan terkesan emosional tapi tetap berisiÃ°ÂŸÂ¥Â¹ "" Tidak Usah jangan, Berarti Prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya "" #Anies Pak Lurah Bu Hesti Anies Deserve Better Asnawi Videotron Pegang Miftah Papua Amien Rais https://t.co/VIKVDzL1Sr [RE Riweh_Banget]"
paslon 03 ganjar pranowo mahfud md regulasi hukum investor indonesia bersahabat terukur,Politik,38,0,10,1,3,2,38,0,2,"Paslon 03 Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investor di Indonesia bakal lebih bersahabat dan terukur.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/RIoiHBQcPU"
anies sosok ayah penuh kehangatan mmg sosok ayah penuh kehangatan lihat dlm tayangan video tangannya lentur banget menggendong anak luwes ngga kaku ngga buatbuat anakanaknya jg merasakan gendongan pelukan pelukan beliau kekuatan sejati ketenangan pelukan ayah,Pertahanan dan Keamanan,3,5,0,6,0,3,18,18,6,"RT ANIES SOSOK AYAH YANG PENUH KEHANGATAN - Ã¬Â• Ã«Â‹ÂˆÃ¬ÂŠÂ¤Ã«ÂŠÂ” Ã«Â”Â°Ã«ÂœÂ»Ã­Â•Â¨Ã¬ÂÂ´ ÃªÂ°Â€Ã«Â“ÂÃ­Â•Âœ Ã¬Â•Â„Ã«Â²Â„Ã¬Â§Â€Ã¬ÂÂ˜ Ã«ÂªÂ¨Ã¬ÂŠÂµÃ¬Âž Ã«Â‹ÂˆÃ«Â‹Â¤ Pak @tMhERoSGzAGffRRtESW3sH2i8KRZA00OpeRvhkolzv0= mmg sosok Ayah yg Penuh Kehangatan. Lihat dlm tayangan video ini, tangannya lentur banget menggendong anak kecil. Tampak Luwes, ngga kaku dan ngga buat-buat.Ã‚ Pasti anak-anaknya jg sering merasakan gendongan, pelukan dan pelukan beliau. - ""Kekuatan sejati adalah ketenangan di pelukan Ayah."" - #aniesbubbleÃ‚ #AniesMuhaimin2024 [RE papa_loren]"
capres ganjar pranowo nggak mainmain nih kolaborasi perguruan program edukatif oke,Politik,35,0,18,1,1,0,35,1,0,Capres Ganjar Pranowo nggak main-main nih! Kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/aDzMKmTRYj
projo kawal prabowo gibran menang putaran,Politik,43,4,2,0,2,0,43,5,0,RT Projo Kawal Prabowo Gibran Menang Sekali Putaran Ã¢ÂœÂŠÃ°ÂŸÂ‡Â®Ã°ÂŸÂ‡Â© #projo #jokowi #setiadigarisrakyat https://t.co/9WT8h4Iizh [RE Projo_Pusat]
tempodotco semangat m3nddukung mu ganjar mahfud hebat,Politik,41,0,12,1,1,0,41,1,0,tempodotco semangat pak Ã‚ Ã‚ kami akan selalu m3nddukung muÃ‚ Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfudM3nangDebat #DebatCapres https://t.co/K7EM7R7P2v
anies sesuai selera masyarakat sumatera barat,Sosial Budaya,27,0,0,0,1,0,28,27,0,RT Anies sesuai selera masyarakat Sumatera Barat. https://t.co/6phxEXGjc6 [RE kamalmiko]
abah anies baswedan amp fery farhati pekanbaru kampanye akbar,Politik,37,3,0,8,0,0,37,8,0,RT Abah Anies Baswedan &amp; ibu Fery Farhati tiba di Pekanbaru Kampanye Akbar kedua hari ini Ã°ÂŸÂ”Â¥ https://t.co/XcZxFscBhw [RE Mdy_Asmara1701]
atikoh beberkan solusi ganjarmahfud atasi harga pangan,Politik,38,0,8,0,0,7,38,2,1,Atikoh Beberkan Solusi Ganjar-Mahfud Atasi Harga Pangan Naik https://t.co/m8OARyG630
giliran buruh soloraya deklarasi dukung prabowogibran soloraya,Politik,46,0,0,1,0,4,46,5,0,RT Giliran Buruh Soloraya Deklarasi Dukung Prabowo-Gibran - Soloraya https://t.co/DBaQCYeqKV https://t.co/hjZXhvK0oi #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan [RE doddy_h4312]
capres cawapres ganjar pranowo mahfud md mengajak bersatu menjaga konstitusi aturan dasar negara,Ideologi,56,0,0,0,56,0,0,0,0,Capres Cawapres Ganjar Pranowo dan Mahfud MD mengajak semua pihak untuk bersatu menjaga Konstitusi atau aturan dasar negara.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/VdpFFxOeUQ
raja dangdut haji rhoma irama seni film anies terpilih presiden desak anies amp slepet imin jiexpo kemayoran jakarta pusat senin 29 januari 2024,Politik,40,3,0,6,0,1,40,5,1,RT Raja dangdut Pak Haji Rhoma irama Bertanya Tentang seni dan Film Jika Pak Anies Terpilih jadi Presiden Desak ANIES &amp; Slepet Imin di JI-EXPO Kemayoran Jakarta pusat Hari ini Senin 29 Januari 2024 https://t.co/RrXqDp1oVE [RE Yurissa_Samosir]
capres ganjar pranowo ruang masyarakat masukan saran evaluasi pasal karet uu ite,Politik,37,0,8,1,5,1,37,3,1,Capres Ganjar Pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet UU ITE.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/P6xBly0eos
musuh utama gen z anies bertekad basmi praktik ordal penerimaan tenaga kerja sektor swasta amp pemerintahan dg penegakan aturan,Politik,29,0,0,9,11,3,29,4,0,"RT Ini musuh utama gen z, Anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta &amp; pemerintahan dg penegakan aturan.. #AMINAjaDulu https://t.co/kcras6WuXs [RE ekowboy2]"
debat caprescawapres ke3 anies nilai kemenhan melaksanakan kebijakan nilainya 11 100 menteri layak paslon 01,Politik,41,3,0,0,1,4,41,4,3,"Debat Capres-Cawapres ke-3, Anies menyatakan nilai Kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100. Jadi Menteri saja tidak layak, menurut Paslon 01."
pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit 35 koprasi umkm andalan bisnis lokal sukses temantemanjn18a,Ekonomi,51,0,51,0,0,0,5,0,0,"Pasangan Duet Capres Cawapres Ganjar Pranowo Mahfud MD, motor perubahan. Kredit 35% untuk koprasi dan UMKM, jadi andalan bisnis lokal. Sukses terus, teman-teman.JN18A #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat"
anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan teman adu ide amp gagasantunjukan karyakarya anies perubahan indonesia,Ideologi,46,2,0,0,46,0,0,8,0,"RT Anak Muda Indonesia, the future of this nation is in your hand. It's the time for change. Anies for President..sampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide &amp; gagasan...tunjukan karya-karya Pak Anies untuk Perubahan Indonesia lebih baik lagi https://t.co/S9S9Kanr0z [RE Yurissa_Samosir]"
aniess post has reached 26000 likes and 1350573 on dialog capres w kadin tvonenews youtube in 1 days 15 hour 27 minutes it is the fastest and highest post to reach 26k likes and 13m likes among capress members,Sosial Budaya,7,1,0,8,0,3,34,7,3,"RT Pak AniesÃ¢Â€Â™s post has reached 26.000 likes and 1.350.573 on Dialog Capres w/ Kadin, tvOneNews Youtube in 1 Days 15 Hour 27 Minutes. Ã¢Â€Â” It is the fastest and highest post to reach 26k likes and 1.3M likes among capresÃ¢Â€Â™s members #ANIES #Ã¬Â•Â„Ã«Â‹ÂˆÃ¬ÂŠÂ¤ #AniesAtKadin https://t.co/skRZA4AWlp [RE aniesbubble]"
according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,Pertahanan dan Keamanan,48,0,0,8,0,48,0,0,0,"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]"
kejam warga disitu bersedia dibangun jis dgn janji anies utk memabngun rumah susun stlh rumah terbangun mrk ga haknya anies gubernur sll menepati janjinya kampung akuarium kampung kunir dll salah rakyat rmh,Sosial Budaya,48,0,0,2,1,1,2,48,2,"RT Ini kejam, warga disitu sudah bersedia dibangun JIS dgn janji Anies utk memabngun rumah susun bagi mereka. Stlh rumah itu terbangun mrk ga diberikan haknya. Padahal Anies selaku Gubernur sll menepati janjinya. Kampung akuarium, kampung kunir dll. Apa yg salah rakyat mendapat rmh? [RE GeiszChalifah]"
prabowogibran terapkan 17 program melancarkan ekonomi biru internasional kontan,Ekonomi,15,4,15,4,1,3,27,2,0,RT Prabowo-Gibran akan Terapkan 17 Program Ini untuk Melancarkan Ekonomi Biru - Internasional Kontan https://t.co/3wJ1RkX4NX #MenangSeputaran [RE AzzrielAzaryahu]
viral anies baswedan ancaman penembakan tim hukum amin tempuh jalur hukum,Pertahanan dan Keamanan,38,2,0,1,0,38,10,5,0,"RT VIRAL Anies Baswedan Dapat Ancaman Penembakan, Tim Hukum AMIN Siap Tempuh Jalur Hukum! https://t.co/pnFEy0cLgj [RE democrazymedia]"
kasihan pendukung prabowo udah dibela belain masuk penjara gak diakui,Politik,43,1,0,0,0,0,43,10,2,RT Kasihan Pendukung Prabowo udah dibela belain masuk penjara gak diakui..... https://t.co/8l6IbwcGwC [RE Catatan_ali7]
tempodotco ayo ganjar tuntaskan permasalahan indonesia m3nang semuakerja ganjar mahfud hebat ayahbowo adalahkita,Politik,34,3,17,0,0,1,34,1,0,"tempodotco Ayo Ganjar, tuntaskan permasalahan yang ada di Indonesia, pasti bisa pasti m3nang Ã‚ Ã‚ semuakerjaÃ‚ Ganjar Mahfud Hebat #Coblos3 #3GM #DuluJokowiSekarangGanjar ayahbowo adalahkita Ã°ÂŸÂ˜Â€ https://t.co/zRmqeHufEI"
wiranto langsung bergerak cepat dukungan prabowo gibran,Politik,43,2,3,0,1,1,43,5,1,RT Wiranto langsung bergerak cepat untuk memberikan dukungan kepada Prabowo - Gibran. #WirantoGasPolDukung02 https://t.co/vkk1Hbk5Wl [RE AlfisyahriFarah]
gua beneran sedih banget ya orang tuh susah menerima fakta kalo prabowo war criminal zionist kek theres so many possibilities kalo beliau kepilih regress demokrasi otoriter menteri progresif didepak,Politik,33,2,0,4,3,4,33,7,3,"RT gua beneran sedih banget kenapa ya orang tuh susah menerima fakta kalo prabowo itu war criminal dan zionistÃ¢Â€Â¦.. kek thereÃ¢Â€Â™s so many possibilities kalo beliau kepilih bakal regress demokrasi kita, bakal lebih otoriter, bahkan banyak menteri progresif yg pasti akan didepakÃ¢Â€Â¦ [RE moonincancer__]"
lautan manusia sambut capres nomor urut 1 anies baswedan laksanakan giat kampanye bone sulawesi selatan sulsel rabu 1712024 anies bertemu masyarakat bone lapangan sepak bola cina kampanye kali spesial lantaran ditemani eks wakil presiden jusuf kalla jk lautan manusia antusias menyapa anies takjub uang mengobarkan semangat simak berita selengkapnya,Politik,39,1,0,4,3,1,39,4,4,"RT Lautan manusia sambut Capres nomor urut 1, Anies Baswedan saat laksanakan giat kampanye ke Bone, Sulawesi Selatan (Sulsel), Rabu (17/1/2024). Anies bertemu dengan masyarakat Bone di Lapangan Sepak Bola Cina. Kampanye kali ini cukup spesial lantaran ditemani oleh eks Wakil Presiden, Jusuf Kalla (JK). Melihat lautan manusia yang antusias menyapa Anies ini pun membuat dia merasa takjub, dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini. Simak berita selengkapnya di https://t.co/IuWcTPbHZj #HardNews_Politik #NewsOne #CariBeritaditvOne #NO01 #AniesBaswedan #Kampanye #ViralBone #Pilpres2024 #Politik #KamiKabarkanAndaPutuskan #MauMemilih #tvOneTVPemilu [RE tvOneNews]"
kali capres peluk orang papua mencium tangan anakanak papua biar rakyat menilai gak ngaruh all in prabowo istirahat anies deserve better,Politik,39,4,0,0,0,0,39,12,1,RT baru kali ini ada capres yg mau peluk orang papua mencium tangan anak-Anak papua biar rakyat yang menilai !! Gak ngaruh tetap all in prabowo istirahatÃ°ÂŸÂ«Â£ Anies Deserve Better #AbahAnies #CakImin https://t.co/2lcwxzGCN0 [RE nialubis_]
vote aniesmuhaimin 14 februari 2024 silahkan retweet,Politik,37,0,4,9,5,1,37,0,0,"RT Yang sudah yakin vote Anies-Muhaimin pada 14 februari 2024, silahkan retweet!! #NakesDesakAnies https://t.co/qReuauPDzn [RE AbdulRachimmks]"
data manaaaaa data lahan prabowo rahasia pertahanan index peringkat dibaca ganjar rahasia pertahanan astagaaaa,Pertahanan dan Keamanan,45,2,0,0,1,45,3,4,1,RT DATA YANG MANAAAAA ???? Data lahan pak prabowo itu bagian dari rahasia pertahanan ? Index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan ? Astagaaaa [RE MamatAlkatiri]
video direkam 5 april 2014 dlm acara mengadili anies jd presiden cita cita anies value pikiran dibawa dlm gagasan anies pemikiran negarawan jarang dengar pemikiran2 beliau dinegeri guys,Politik,39,0,0,5,0,1,39,10,1,"RT Video ini direkam 5 April 2014 dlm acara ""Mengadili Anies"". Apakah jd Presiden adalah cita cita Anies??? Value pikiran yg dibawa dlm gagasan Pak Anies memang pemikiran seorang negarawan dari dulu, jarang kita dengar pemikiran2 macam beliau dinegeri ini guys. #AMINAjaDulu https://t.co/MTdDm5Q1Ge [RE BangPino__]"
ganjar prof mahfud memperoleh dukungan luas keberanian menghadapi dinamika g3opolitik terduga,Politik,39,1,12,0,2,2,39,0,0,Pak Ganjar dan Prof Mahfud memperoleh dukungan luas karena keberanian mereka dalam menghadapi dinamika g3opolitik yang tidak terduga @oykGYdaFYBKvWXjXN2nlVXJgtQjBeR7nBLD5UiBobIc= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/qLVALTCMZa
jk tanah bob hasan dimiliki prabowo,Politik,33,1,0,3,4,11,33,3,1,RT JK Ungkap Sebab Tanah Bob Hasan Bisa Dimiliki Prabowo https://t.co/4TvcmCgso4 [RE CNNIndonesia]
bawaslu terkesan membenarkan kegiatan paslon 2 kunjungan prabowo cilincing diwarnai bagi2 uang 100rb dianggap kunjungan menhan bawaslu terserah klean,Politik,38,0,2,9,1,2,38,1,3,"RT Sekarang bawaslu malah terkesan yg membenarkan kegiatan paslon 2, kunjungan prabowo ke cilincing yg diwarnai bagi2 uang 100rb dianggap kunjungan sebagai menhan oleh bawaslu, terserah klean lahÃ°ÂŸÂ™Â‚ https://t.co/MKF3x5U5qc [RE 5t3v3n_P3g3L]"
prabowo tipe suka bukti kinerjanya sekedar omong kosong belaka,Politik,33,1,0,12,3,2,33,5,0,RT pak prabowo adalah tipe seseorang yang lebih suka menunjukkan bukti kinerjanya daripada sekedar omong kosong belaka #KinerjaBukanOmonOmon https://t.co/RZJRed7zsg [RE Bella9316530695]
abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya,56,0,0,0,0,0,0,56,0,RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2]
anies prediksiulama madura jawa timur terkagum kagum anies ulama madura bernama kyai fattah mengaku kalah menyimak anies acara cifp 2023,Politik,28,2,0,9,0,0,28,15,2,RT Jawaban pak Anies di Luar Prediksi...Ulama dari Madura Jawa timur Sampai Terkagum -kagum dengan pak Anies bahkan Ulama Madura yg Bernama Bapak Kyai Fattah mengaku kalah setelah Menyimak jawaban dari pak Anies di acara Cifp 2023 yg Lalu https://t.co/pYLrS3bWSe [RE Yurissa_Samosir]
nelayan butuh tindakan nyata ganjar pranowo mahfud md hadirkan solusi terbaik,Politik,37,0,13,1,3,0,37,2,0,"Nelayan butuh tindakan nyata, Ganjar Pranowo, Mahfud MD, bersama kita hadirkan solusi terbaik! #NelayanSolusiNyata #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/RxK3a8uHZA"
anies bersikap kritis kinerja prabowo dianggap engga sopan dianggap menghormati orang tua giliran skrg gibran tengil sok kritis dianggap kritis keras standar ganda,Politik,42,3,0,0,0,2,42,3,6,"RT @0SIRtH1oGVbK2EuKBmDu8IZTnnsgBYm4kuRvLEJJ8lU= Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua, giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras. Apakah ini tidak standar ganda? Ã°ÂŸÂ¤Â­ [RE coldthem]"
